nama_vga,harga_vga
EVGA GeForce GTX 1080 Ti,1230.0
EVGA GeForce RTX 2080,1299.0
EVGA GeForce RTX 3080,1374.0
EVGA GeForce RTX 2080 SUPER,1299.0
EVGA GeForce RTX 3090,2399.0
EVGA GeForce RTX 2070 SUPER,999.0
EVGA GeForce GTX 1070 Ti,789.0
EVGA GeForce GTX 1060 6GB,999.0
EVGA GeForce GTX 1080,1499.0
EVGA GeForce GTX 1080 Ti,1089.0
EVGA GeForce GTX 1070,642.0
EVGA GeForce RTX 2070 SUPER,979.0
EVGA GeForce RTX 2060,362.0
EVGA GeForce RTX 2060,393.0
EVGA GeForce GTX 780 Ti,1200.0
EVGA GeForce GTX 1060 3GB,299.0
EVGA GeForce GTX 1070,876.0
EVGA GeForce GTX 1070 Ti,705.0
EVGA GeForce GTX 1070 Ti,687.0
EVGA GeForce RTX 2060,447.0
EVGA GeForce GTX 1660,290.0
EVGA GeForce GTX 1650 SUPER,242.0
EVGA GeForce GTX 1660 Ti,303.0
EVGA GeForce GTX 1660 SUPER,304.0
EVGA GeForce GTX 1080 Ti,999.0
EVGA GeForce GTX 1080,1999.0
EVGA GeForce GTX 1080 Ti,1199.0
EVGA GeForce GT 740,329.0
EVGA GeForce GTX 960,459.0
EVGA GeForce GT 740,329.0
EVGA GeForce GTX 660 Ti,726.0
EVGA GeForce GTX 1660 Ti,499.0
EVGA GeForce GTX 1660,237.0
EVGA GeForce GTX 1660,292.0
EVGA GeForce RTX 2080 SUPER,1279.0
EVGA GeForce RTX 2060 SUPER,849.0
EVGA GeForce RTX 2070 SUPER,1099.0
EVGA GeForce GTX 1660 Ti,549.0
EVGA GeForce RTX 2070,999.0
EVGA GeForce RTX 2080 Ti,2599.0
EVGA GeForce RTX 2080 SUPER,1299.0
EVGA GeForce RTX 2080 SUPER,1199.0
EVGA GeForce RTX 2080 Ti,1999.0
EVGA GeForce RTX 2070 SUPER,899.0
EVGA GeForce RTX 3090,2318.0
EVGA GeForce GTX 1080 Ti,969.0
Gainward GeForce GTX 1060 3GB,5463.0
Galaxy GeForce 210,113.0
Galaxy GeForce GT 520,124.0
Galaxy GeForce GTX 550 Ti,278.0
Galaxy GeForce GTX 560 Ti,574.0
Galaxy GeForce GTX 560,367.0
Galaxy GeForce GTX 560 Ti,521.0
Galaxy GeForce GTX 570,554.0
Galaxy GeForce GT 640,238.0
Galaxy GeForce GTX 650 Ti,328.0
Galaxy GeForce GTX 650,275.0
Galaxy GeForce GTX 660 Ti,724.0
Galaxy GeForce GTX 660,503.0
